[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.422865	0.099875	0.011917	-0.010500	3.254334	0.258259	0.212942	0.227459	0.202768	0.217254	0.203148	0.210134	0.194039	0.210442	0.208829	0.208022	0.201792	0.201061	0.194409	0.203981	0.203906	0.196439	0.227039	0.301195	0.338937	0.080091	0.181761	0.029447
0.437694	0.099958	0.011917	-0.010750	3.254232	0.257845	0.212816	0.227260	0.202753	0.217217	0.203152	0.210139	0.194041	0.210440	0.208828	0.208028	0.201793	0.201059	0.194410	0.203984	0.203908	0.196430	0.227030	0.301178	0.338887	0.080089	0.181766	0.029436
0.451981	0.099917	0.011833	-0.010500	3.254791	0.257407	0.212713	0.227170	0.202723	0.217190	0.203154	0.210145	0.194039	0.210433	0.208825	0.208033	0.201795	0.201058	0.194410	0.203983	0.203909	0.196426	0.227024	0.301168	0.338865	0.080088	0.181771	0.029431
0.466640	0.099792	0.011792	-0.010417	3.256262	0.257042	0.212735	0.227119	0.202706	0.217207	0.203145	0.210143	0.194038	0.210426	0.208821	0.208034	0.201796	0.201057	0.194409	0.203981	0.203907	0.196421	0.227017	0.301185	0.338856	0.080087	0.181775	0.029431
0.481302	0.099875	0.011833	-0.010500	3.256664	0.256768	0.212732	0.227058	0.202697	0.217274	0.203128	0.210128	0.194037	0.210414	0.208815	0.208031	0.201794	0.201056	0.194403	0.203977	0.203905	0.196417	0.227007	0.301196	0.338860	0.080087	0.181777	0.029439
0.495525	0.099792	0.011833	-0.010667	3.255761	0.256574	0.212532	0.226976	0.202653	0.217285	0.203110	0.210113	0.194034	0.210405	0.208812	0.208027	0.201791	0.201054	0.194397	0.203972	0.203903	0.196414	0.227000	0.301199	0.338886	0.080089	0.181778	0.029450
0.510469	0.099833	0.011917	-0.010333	3.254668	0.256355	0.212319	0.226885	0.202579	0.217235	0.203096	0.210101	0.194029	0.210398	0.208809	0.208024	0.201789	0.201053	0.194393	0.203966	0.203903	0.196412	0.226994	0.301200	0.338912	0.080090	0.181779	0.029466
0.524950	0.099667	0.011875	-0.010500	3.253733	0.256169	0.212182	0.226819	0.202512	0.217161	0.203082	0.210089	0.194020	0.210391	0.208804	0.208019	0.201784	0.201050	0.194389	0.203961	0.203903	0.196415	0.226992	0.301205	0.338924	0.080090	0.181781	0.029485
0.539354	0.099833	0.011750	-0.010417	3.253424	0.255867	0.212240	0.226746	0.202486	0.217098	0.203071	0.210080	0.194013	0.210383	0.208798	0.208012	0.201780	0.201046	0.194386	0.203957	0.203900	0.196417	0.226992	0.301181	0.338898	0.080091	0.181784	0.029502
0.554050	0.099792	0.011958	-0.010333	3.253535	0.255538	0.212452	0.226722	0.202511	0.217060	0.203064	0.210073	0.194005	0.210376	0.208793	0.208010	0.201777	0.201044	0.194384	0.203953	0.203896	0.196415	0.226989	0.301157	0.338874	0.080093	0.181788	0.029510
0.568552	0.099833	0.011833	-0.010333	3.253683	0.255283	0.212640	0.226693	0.202537	0.217042	0.203062	0.210074	0.194001	0.210375	0.208791	0.208010	0.201773	0.201042	0.194382	0.203950	0.203892	0.196413	0.226990	0.301143	0.338857	0.080097	0.181791	0.029504
0.583121	0.099750	0.011875	-0.010333	3.253639	0.255283	0.212937	0.226700	0.202554	0.217036	0.203075	0.210081	0.194000	0.210375	0.208791	0.208012	0.201770	0.201041	0.194382	0.203952	0.203891	0.196422	0.226997	0.301180	0.338925	0.080099	0.181794	0.029491
0.597665	0.099708	0.011792	-0.010500	3.254009	0.255680	0.213575	0.226699	0.202517	0.217075	0.203096	0.210093	0.194003	0.210378	0.208793	0.208017	0.201770	0.201041	0.194383	0.203959	0.203894	0.196453	0.227007	0.301248	0.339060	0.080102	0.181794	0.029479
0.612138	0.099667	0.011792	-0.010500	3.255267	0.256338	0.213961	0.226679	0.202461	0.217094	0.203109	0.210101	0.194003	0.210386	0.208795	0.208023	0.201775	0.201041	0.194385	0.203963	0.203898	0.196476	0.227010	0.301281	0.339167	0.080103	0.181794	0.029471
0.626971	0.099833	0.011750	-0.010333	3.256156	0.256710	0.214015	0.226689	0.202425	0.217092	0.203097	0.210102	0.193999	0.210388	0.208792	0.208029	0.201777	0.201039	0.194386	0.203960	0.203898	0.196471	0.227003	0.301256	0.339147	0.080103	0.181793	0.029466
