[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.401304	0.098667	0.011083	0.019667	3.222460	0.256860	0.212044	0.227657	0.202664	0.217185	0.203246	0.210131	0.194025	0.210402	0.208795	0.208037	0.201790	0.201042	0.194396	0.203960	0.203885	0.196424	0.225708	0.304135	0.335771	0.079403	0.177084	0.034912
0.416058	0.098667	0.011083	0.019667	3.223256	0.256742	0.212150	0.227586	0.202697	0.217186	0.203247	0.210128	0.194032	0.210400	0.208802	0.208034	0.201790	0.201042	0.194396	0.203963	0.203885	0.196425	0.225706	0.304126	0.335761	0.079404	0.177075	0.034929
0.430617	0.098667	0.011333	0.019750	3.224010	0.256573	0.212333	0.227507	0.202736	0.217163	0.203244	0.210126	0.194034	0.210395	0.208806	0.208026	0.201789	0.201043	0.194395	0.203963	0.203887	0.196428	0.225709	0.304116	0.335747	0.079405	0.177068	0.034948
0.444919	0.098667	0.011167	0.019583	3.224398	0.256541	0.212409	0.227507	0.202749	0.217143	0.203236	0.210131	0.194035	0.210394	0.208811	0.208019	0.201787	0.201044	0.194395	0.203965	0.203887	0.196434	0.225724	0.304112	0.335743	0.079406	0.177062	0.034966
0.459771	0.098625	0.011000	0.019208	3.224459	0.256491	0.212384	0.227426	0.202717	0.217125	0.203223	0.210149	0.194043	0.210396	0.208819	0.208019	0.201786	0.201049	0.194398	0.203972	0.203889	0.196440	0.225723	0.304089	0.335737	0.079406	0.177057	0.034989
0.474267	0.098708	0.010917	0.019333	3.223978	0.256489	0.212314	0.227334	0.202667	0.217101	0.203212	0.210155	0.194051	0.210391	0.208819	0.208020	0.201782	0.201052	0.194397	0.203975	0.203889	0.196436	0.225713	0.304068	0.335740	0.079406	0.177056	0.035009
0.488694	0.098500	0.011000	0.019542	3.223252	0.256383	0.212224	0.227272	0.202605	0.217070	0.203198	0.210148	0.194049	0.210383	0.208813	0.208018	0.201777	0.201052	0.194395	0.203971	0.203886	0.196430	0.225710	0.304065	0.335760	0.079407	0.177057	0.035031
0.503419	0.098583	0.011208	0.019500	3.222853	0.256447	0.212227	0.227312	0.202577	0.217076	0.203189	0.210135	0.194047	0.210381	0.208808	0.208015	0.201774	0.201050	0.194395	0.203968	0.203883	0.196427	0.225709	0.304092	0.335779	0.079407	0.177057	0.035052
0.517848	0.098583	0.010750	0.019375	3.222850	0.256447	0.212320	0.227338	0.202560	0.217103	0.203184	0.210124	0.194046	0.210381	0.208804	0.208012	0.201772	0.201051	0.194396	0.203966	0.203879	0.196421	0.225702	0.304123	0.335769	0.079407	0.177056	0.035069
0.532506	0.098667	0.011250	0.019375	3.223073	0.256455	0.212397	0.227350	0.202580	0.217121	0.203185	0.210120	0.194049	0.210385	0.208802	0.208011	0.201772	0.201052	0.194397	0.203965	0.203875	0.196413	0.225689	0.304135	0.335739	0.079407	0.177053	0.035079
0.546935	0.098667	0.011083	0.019458	3.222703	0.256490	0.212361	0.227458	0.202594	0.217109	0.203180	0.210125	0.194051	0.210388	0.208801	0.208010	0.201773	0.201049	0.194395	0.203964	0.203872	0.196407	0.225679	0.304113	0.335720	0.079408	0.177048	0.035087
