[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
1.221708	0.073583	0.014417	0.018183	5.259985	0.306466	0.231026	0.244639	0.207075	0.222242	0.204898	0.211915	0.195518	0.211907	0.209779	0.209041	0.202838	0.202191	0.195895	0.205612	0.205789	0.200318	0.235979	0.335689	0.424946	0.082562	0.171534	0.023555	2.059980	13.815700	34.998001	97.735771
1.258160	0.073583	0.014517	0.018250	5.265817	0.308344	0.232955	0.245328	0.207349	0.222517	0.204980	0.211933	0.195525	0.211921	0.209785	0.209053	0.202848	0.202200	0.195902	0.205625	0.205832	0.200322	0.236024	0.335936	0.425353	0.082569	0.171558	0.022006	2.059981	13.827901	34.999001	97.760147
1.294508	0.073650	0.014500	0.018350	5.283322	0.312023	0.239129	0.245678	0.208332	0.222671	0.205088	0.211955	0.195536	0.211942	0.209814	0.209066	0.202853	0.202215	0.195922	0.205644	0.205868	0.200444	0.236112	0.336419	0.426018	0.082579	0.171580	0.020189	2.059981	13.826900	34.998001	97.723564
1.330946	0.073633	0.014450	0.018367	5.307065	0.319076	0.247064	0.249095	0.211642	0.223104	0.205221	0.212021	0.195590	0.212041	0.209884	0.209109	0.202875	0.202248	0.195964	0.205699	0.205939	0.200717	0.236505	0.337248	0.427365	0.082594	0.171597	0.018277	2.059982	13.823999	35.000000	97.745918
1.367346	0.073667	0.014600	0.018483	5.331830	0.327417	0.254110	0.253130	0.213682	0.223906	0.205372	0.212091	0.195639	0.212105	0.209943	0.209152	0.202900	0.202279	0.195988	0.205761	0.206006	0.201094	0.237097	0.338485	0.429931	0.082610	0.171609	0.016455	2.059982	13.842701	35.000000	97.737808
1.403695	0.073633	0.014567	0.018600	5.351333	0.330437	0.258380	0.255134	0.214226	0.224332	0.205519	0.212166	0.195710	0.212163	0.209985	0.209182	0.202932	0.202311	0.196033	0.205805	0.206077	0.201229	0.237274	0.338926	0.430292	0.082628	0.171615	0.014852	2.059980	13.843600	35.000000	97.752037
1.440147	0.073600	0.014683	0.018767	5.359938	0.330493	0.258507	0.255248	0.214528	0.224214	0.205546	0.212165	0.195725	0.212154	0.209986	0.209183	0.202934	0.202323	0.196036	0.205806	0.206091	0.201300	0.237354	0.339065	0.430601	0.082652	0.171618	0.013590	2.059978	13.841000	35.000000	97.719498
1.476494	0.073633	0.014650	0.019267	5.374322	0.339138	0.268567	0.262677	0.217271	0.224768	0.205862	0.212253	0.195770	0.212156	0.210029	0.209195	0.202956	0.202344	0.196043	0.205852	0.206155	0.201454	0.237647	0.339735	0.431765	0.082689	0.171624	0.012717	2.059977	13.848201	35.000000	97.731689
1.512987	0.073583	0.014883	0.019517	5.379352	0.350314	0.271862	0.271845	0.218052	0.225959	0.205943	0.212305	0.195833	0.212204	0.210050	0.209231	0.202994	0.202366	0.196075	0.205899	0.206232	0.201571	0.237916	0.340232	0.432137	0.082738	0.171632	0.012269	2.059977	13.854700	35.000000	97.735764
1.549256	0.073667	0.014883	0.019567	5.391211	0.352888	0.269868	0.271545	0.217510	0.225378	0.205839	0.212263	0.195803	0.212213	0.210039	0.209236	0.202999	0.202370	0.196083	0.205873	0.206246	0.201572	0.237982	0.340654	0.432618	0.082803	0.171637	0.012254	2.059977	13.849801	35.000000	97.745926
1.585772	0.073700	0.015067	0.019683	5.395513	0.356117	0.272417	0.270224	0.218309	0.225437	0.205861	0.212266	0.195800	0.212220	0.210041	0.209230	0.203000	0.202365	0.196076	0.205877	0.206254	0.201603	0.238004	0.340968	0.432505	0.082885	0.171638	0.012653	2.059974	13.849099	34.998501	97.707306
