[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.797133	0.096667	0.014917	0.093042	3.743292	0.242834	0.207935	0.220608	0.201239	0.215792	0.202834	0.209857	0.193933	0.210280	0.208696	0.207963	0.201699	0.200987	0.194361	0.203890	0.203823	0.196372	0.223943	0.309282	0.316184	0.083233	0.076511	0.037186
0.811596	0.096625	0.014917	0.093000	3.743246	0.242827	0.207933	0.220609	0.201239	0.215792	0.202834	0.209859	0.193933	0.210280	0.208695	0.207964	0.201701	0.200984	0.194361	0.203890	0.203823	0.196372	0.223942	0.309278	0.316179	0.083233	0.076512	0.037170
0.837956	0.096542	0.014917	0.093208	3.743133	0.242815	0.207928	0.220611	0.201241	0.215789	0.202835	0.209861	0.193931	0.210279	0.208692	0.207964	0.201701	0.200981	0.194360	0.203891	0.203820	0.196373	0.223942	0.309270	0.316164	0.083235	0.076514	0.037172
0.858919	0.096625	0.014917	0.093250	3.743090	0.242809	0.207927	0.220612	0.201243	0.215788	0.202835	0.209863	0.193930	0.210278	0.208690	0.207963	0.201701	0.200980	0.194361	0.203891	0.203819	0.196374	0.223942	0.309268	0.316156	0.083237	0.076515	0.037191
0.873802	0.096667	0.014958	0.093042	3.743073	0.242808	0.207929	0.220612	0.201243	0.215788	0.202835	0.209863	0.193930	0.210277	0.208690	0.207962	0.201701	0.200980	0.194361	0.203892	0.203819	0.196376	0.223942	0.309271	0.316154	0.083237	0.076516	0.037209
0.888035	0.096583	0.014958	0.093583	3.743067	0.242806	0.207931	0.220612	0.201244	0.215788	0.202835	0.209862	0.193930	0.210276	0.208689	0.207962	0.201700	0.200979	0.194361	0.203892	0.203819	0.196377	0.223942	0.309273	0.316153	0.083237	0.076517	0.037222
0.902760	0.096667	0.014875	0.094167	3.743083	0.242805	0.207932	0.220613	0.201245	0.215788	0.202835	0.209862	0.193931	0.210277	0.208687	0.207962	0.201700	0.200979	0.194361	0.203893	0.203820	0.196378	0.223944	0.309275	0.316151	0.083237	0.076518	0.037232
0.917385	0.096625	0.014875	0.094208	3.743115	0.242805	0.207932	0.220615	0.201245	0.215787	0.202836	0.209861	0.193932	0.210276	0.208687	0.207963	0.201700	0.200980	0.194361	0.203893	0.203821	0.196378	0.223945	0.309276	0.316149	0.083237	0.076518	0.037238
0.931619	0.096667	0.014917	0.094250	3.743141	0.242807	0.207934	0.220616	0.201245	0.215788	0.202835	0.209861	0.193933	0.210277	0.208689	0.207963	0.201699	0.200982	0.194361	0.203892	0.203822	0.196379	0.223946	0.309279	0.316149	0.083236	0.076518	0.037240
0.946569	0.096625	0.014917	0.093750	3.743155	0.242809	0.207936	0.220616	0.201246	0.215787	0.202835	0.209860	0.193934	0.210277	0.208690	0.207964	0.201699	0.200982	0.194361	0.203892	0.203823	0.196379	0.223947	0.309283	0.316152	0.083235	0.076518	0.037237
0.960935	0.096667	0.014833	0.093667	3.743164	0.242810	0.207939	0.220615	0.201246	0.215788	0.202836	0.209862	0.193934	0.210278	0.208689	0.207964	0.201700	0.200981	0.194360	0.203894	0.203823	0.196379	0.223947	0.309286	0.316156	0.083234	0.076518	0.037233
0.975460	0.096708	0.015000	0.094250	3.743161	0.242812	0.207940	0.220614	0.201244	0.215791	0.202836	0.209862	0.193935	0.210278	0.208689	0.207964	0.201700	0.200980	0.194360	0.203895	0.203823	0.196379	0.223947	0.309288	0.316159	0.083235	0.076518	0.037228
0.990123	0.096625	0.014958	0.094250	3.743147	0.242814	0.207941	0.220613	0.201242	0.215794	0.202836	0.209862	0.193935	0.210279	0.208689	0.207964	0.201700	0.200979	0.194359	0.203894	0.203823	0.196379	0.223946	0.309292	0.316165	0.083236	0.076519	0.037220
1.004615	0.096708	0.014833	0.094083	3.743125	0.242815	0.207942	0.220613	0.201241	0.215795	0.202836	0.209863	0.193934	0.210280	0.208690	0.207964	0.201700	0.200979	0.194359	0.203893	0.203824	0.196380	0.223946	0.309294	0.316168	0.083237	0.076518	0.037213
1.019206	0.096833	0.014917	0.093417	3.743097	0.242816	0.207943	0.220613	0.201241	0.215797	0.202836	0.209863	0.193934	0.210281	0.208691	0.207964	0.201700	0.200980	0.194359	0.203894	0.203824	0.196381	0.223947	0.309295	0.316169	0.083237	0.076518	0.037203
1.033702	0.097042	0.015042	0.093583	3.743042	0.242815	0.207943	0.220612	0.201241	0.215798	0.202835	0.209864	0.193935	0.210282	0.208691	0.207966	0.201700	0.200982	0.194360	0.203894	0.203823	0.196381	0.223947	0.309295	0.316167	0.083238	0.076518	0.037193
1.048227	0.097250	0.015000	0.093417	3.742932	0.242813	0.207943	0.220611	0.201241	0.215799	0.202834	0.209864	0.193936	0.210282	0.208690	0.207968	0.201699	0.200983	0.194361	0.203894	0.203823	0.196381	0.223947	0.309295	0.316166	0.083239	0.076519	0.037182
1.063019	0.097833	0.014833	0.093833	3.742759	0.242807	0.207943	0.220612	0.201242	0.215800	0.202834	0.209865	0.193936	0.210282	0.208689	0.207969	0.201699	0.200982	0.194362	0.203894	0.203824	0.196380	0.223948	0.309294	0.316163	0.083241	0.076519	0.037171
1.077285	0.098458	0.014958	0.093583	3.742615	0.242802	0.207943	0.220612	0.201241	0.215798	0.202835	0.209866	0.193935	0.210281	0.208689	0.207969	0.201699	0.200981	0.194362	0.203895	0.203825	0.196381	0.223947	0.309292	0.316160	0.083243	0.076520	0.037161
1.092037	0.099292	0.015000	0.093500	3.742455	0.242798	0.207942	0.220612	0.201241	0.215796	0.202835	0.209867	0.193934	0.210281	0.208689	0.207967	0.201698	0.200980	0.194362	0.203896	0.203825	0.196382	0.223947	0.309291	0.316159	0.083242	0.076527	0.037152
