[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.676329	0.101583	0.014375	0.063625	3.318898	0.307429	0.259238	0.256947	0.217166	0.225149	0.205503	0.211959	0.195079	0.211335	0.209457	0.208542	0.202188	0.201452	0.194803	0.204519	0.204643	0.198008	0.228377	0.310670	0.344259	0.082387	0.185845	0.031347
0.691215	0.101583	0.014333	0.063042	3.317643	0.306519	0.257652	0.256270	0.216891	0.224934	0.205460	0.211905	0.195038	0.211307	0.209427	0.208529	0.202172	0.201437	0.194786	0.204499	0.204616	0.197984	0.228289	0.310607	0.344084	0.082387	0.185821	0.031427
0.705644	0.101625	0.014292	0.062292	3.317388	0.305561	0.255758	0.256352	0.216338	0.224732	0.205396	0.211834	0.194974	0.211264	0.209389	0.208516	0.202151	0.201415	0.194765	0.204481	0.204604	0.197961	0.228245	0.310549	0.343869	0.082386	0.185800	0.031502
0.720106	0.101625	0.014333	0.061167	3.317276	0.305486	0.254427	0.256278	0.215884	0.224367	0.205326	0.211783	0.194911	0.211234	0.209356	0.208511	0.202132	0.201392	0.194748	0.204474	0.204602	0.197941	0.228228	0.310480	0.343668	0.082384	0.185781	0.031572
0.734860	0.101542	0.014292	0.059708	3.317080	0.306132	0.254561	0.255360	0.215864	0.223882	0.205257	0.211746	0.194870	0.211215	0.209328	0.208501	0.202115	0.201370	0.194734	0.204474	0.204595	0.197922	0.228202	0.310411	0.343504	0.082384	0.185764	0.031640
0.749292	0.101708	0.014208	0.058208	3.316648	0.306388	0.255553	0.254523	0.215990	0.223511	0.205204	0.211753	0.194842	0.211215	0.209305	0.208486	0.202100	0.201358	0.194725	0.204480	0.204578	0.197890	0.228174	0.310351	0.343372	0.082384	0.185748	0.031706
0.763915	0.101583	0.014375	0.058042	3.315513	0.307225	0.255455	0.253940	0.215924	0.223304	0.205100	0.211741	0.194807	0.211203	0.209282	0.208460	0.202090	0.201349	0.194718	0.204481	0.204561	0.197856	0.228152	0.310376	0.343318	0.082385	0.185730	0.031771
0.778442	0.101500	0.014375	0.057917	3.314016	0.308426	0.254125	0.253460	0.215627	0.223217	0.205018	0.211738	0.194782	0.211189	0.209276	0.208440	0.202088	0.201348	0.194714	0.204473	0.204560	0.197821	0.228118	0.310398	0.343283	0.082385	0.185713	0.031831
0.792875	0.101417	0.014292	0.056875	3.310775	0.308724	0.252745	0.252859	0.215428	0.223189	0.204954	0.211700	0.194757	0.211177	0.209262	0.208434	0.202084	0.201349	0.194710	0.204453	0.204547	0.197778	0.228076	0.310328	0.343219	0.082384	0.185696	0.031892
0.807725	0.101583	0.014292	0.055792	3.305728	0.307135	0.251375	0.252322	0.215114	0.223171	0.204928	0.211626	0.194735	0.211175	0.209244	0.208445	0.202078	0.201351	0.194708	0.204428	0.204529	0.197730	0.228044	0.310222	0.343205	0.082384	0.185678	0.031958
0.821929	0.101583	0.014292	0.054292	3.301229	0.305469	0.249772	0.251506	0.214853	0.223093	0.204895	0.211574	0.194720	0.211154	0.209226	0.208444	0.202069	0.201351	0.194699	0.204409	0.204513	0.197704	0.228038	0.310147	0.343269	0.082386	0.185661	0.032017
0.836748	0.101583	0.014500	0.054417	3.298252	0.303693	0.248489	0.250509	0.214641	0.222911	0.204857	0.211541	0.194712	0.211124	0.209207	0.208431	0.202058	0.201354	0.194686	0.204391	0.204498	0.197679	0.228013	0.310029	0.343285	0.082387	0.185643	0.032078
