[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.912827	0.098917	0.011292	-0.010667	3.261416	0.262662	0.217355	0.231085	0.203665	0.217961	0.203210	0.210112	0.194035	0.210421	0.208819	0.208038	0.201775	0.201058	0.194391	0.203958	0.203899	0.196534	0.226633	0.305381	0.337881	0.079648	0.178344	0.042161
0.927354	0.098875	0.011625	-0.010500	3.259698	0.262747	0.217205	0.231138	0.203654	0.217841	0.203191	0.210098	0.194031	0.210415	0.208816	0.208036	0.201773	0.201054	0.194391	0.203956	0.203897	0.196526	0.226618	0.305378	0.337924	0.079648	0.178342	0.042153
0.941915	0.098875	0.011417	-0.010417	3.258646	0.263034	0.217528	0.231194	0.203733	0.217740	0.203186	0.210083	0.194030	0.210410	0.208810	0.208035	0.201772	0.201048	0.194393	0.203954	0.203898	0.196515	0.226602	0.305363	0.337987	0.079647	0.178339	0.042146
0.956640	0.098750	0.011375	-0.010333	3.257846	0.263618	0.218110	0.231253	0.203886	0.217656	0.203211	0.210075	0.194032	0.210408	0.208805	0.208038	0.201779	0.201044	0.194398	0.203955	0.203902	0.196502	0.226583	0.305336	0.338039	0.079648	0.178337	0.042139
0.970971	0.098833	0.011375	-0.010292	3.257714	0.263406	0.218228	0.231232	0.203892	0.217624	0.203237	0.210075	0.194033	0.210412	0.208802	0.208042	0.201786	0.201045	0.194399	0.203959	0.203906	0.196500	0.226574	0.305309	0.338016	0.079649	0.178339	0.042132
0.985658	0.098708	0.011500	-0.010500	3.258134	0.262977	0.217951	0.231156	0.203792	0.217613	0.203242	0.210079	0.194029	0.210418	0.208802	0.208041	0.201784	0.201047	0.194399	0.203964	0.203909	0.196506	0.226573	0.305276	0.337965	0.079649	0.178342	0.042123
1.000317	0.099000	0.011417	-0.010417	3.258718	0.262855	0.217559	0.231149	0.203684	0.217589	0.203231	0.210080	0.194026	0.210424	0.208802	0.208040	0.201782	0.201048	0.194398	0.203965	0.203907	0.196512	0.226577	0.305273	0.337950	0.079649	0.178347	0.042112
1.014585	0.099000	0.011417	-0.010417	3.259337	0.262749	0.217229	0.231054	0.203635	0.217547	0.203224	0.210095	0.194028	0.210431	0.208804	0.208043	0.201784	0.201050	0.194398	0.203966	0.203903	0.196519	0.226591	0.305296	0.337932	0.079649	0.178353	0.042102
1.029438	0.099292	0.011458	-0.010583	3.259404	0.262460	0.217033	0.230807	0.203545	0.217509	0.203223	0.210106	0.194034	0.210431	0.208806	0.208047	0.201790	0.201052	0.194397	0.203965	0.203900	0.196526	0.226592	0.305313	0.337876	0.079647	0.178370	0.042092
1.043933	0.099833	0.011375	-0.010417	3.259181	0.262055	0.216764	0.230475	0.203434	0.217476	0.203223	0.210106	0.194035	0.210427	0.208802	0.208050	0.201789	0.201050	0.194395	0.203963	0.203899	0.196519	0.226569	0.305286	0.337800	0.079646	0.178416	0.042086
1.058394	0.100375	0.011375	-0.010417	3.259005	0.261863	0.216591	0.230381	0.203393	0.217463	0.203212	0.210107	0.194032	0.210422	0.208798	0.208053	0.201786	0.201049	0.194394	0.203960	0.203898	0.196509	0.226550	0.305261	0.337755	0.079644	0.178522	0.042081
1.073056	0.101583	0.011375	-0.010500	3.259393	0.262110	0.216773	0.230595	0.203456	0.217506	0.203202	0.210119	0.194031	0.210423	0.208801	0.208058	0.201786	0.201054	0.194398	0.203957	0.203905	0.196511	0.226543	0.305259	0.337784	0.079643	0.178730	0.042077
1.087546	0.102458	0.011375	-0.010667	3.259718	0.262020	0.217288	0.230635	0.203513	0.217564	0.203194	0.210122	0.194034	0.210423	0.208804	0.208062	0.201785	0.201063	0.194398	0.203955	0.203908	0.196512	0.226535	0.305269	0.337838	0.079642	0.179048	0.042074
1.102075	0.103625	0.011458	-0.010333	3.259320	0.261582	0.217707	0.230321	0.203551	0.217557	0.203193	0.210111	0.194038	0.210416	0.208805	0.208062	0.201782	0.201068	0.194392	0.203954	0.203906	0.196511	0.226522	0.305291	0.337875	0.079642	0.179516	0.042075
1.116700	0.104292	0.011500	-0.010333	3.259345	0.261589	0.218152	0.230047	0.203646	0.217552	0.203198	0.210115	0.194041	0.210413	0.208804	0.208060	0.201780	0.201070	0.194387	0.203954	0.203902	0.196511	0.226516	0.305343	0.337905	0.079643	0.180112	0.042076
1.131129	0.104875	0.011333	-0.010333	3.259223	0.262197	0.217986	0.229924	0.203696	0.217538	0.203201	0.210128	0.194037	0.210414	0.208804	0.208057	0.201778	0.201067	0.194383	0.203956	0.203899	0.196514	0.226522	0.305381	0.337942	0.079644	0.180801	0.042077
1.146014	0.105333	0.011375	-0.010542	3.259508	0.262730	0.217678	0.229978	0.203697	0.217532	0.203194	0.210142	0.194038	0.210418	0.208806	0.208057	0.201777	0.201065	0.194382	0.203957	0.203900	0.196517	0.226538	0.305389	0.337991	0.079645	0.181643	0.042080
1.160219	0.106000	0.011417	-0.010417	3.259420	0.262545	0.217558	0.229961	0.203688	0.217516	0.203198	0.210142	0.194037	0.210417	0.208806	0.208053	0.201776	0.201065	0.194380	0.203955	0.203902	0.196519	0.226548	0.305382	0.337991	0.079645	0.182456	0.042085
1.174973	0.106542	0.011417	-0.010417	3.259355	0.262123	0.217432	0.229890	0.203729	0.217504	0.203208	0.210146	0.194035	0.210416	0.208805	0.208050	0.201775	0.201066	0.194379	0.203956	0.203905	0.196522	0.226553	0.305370	0.337956	0.079645	0.183349	0.042091
1.189631	0.106875	0.011583	-0.010583	3.258973	0.261823	0.217021	0.229874	0.203715	0.217489	0.203206	0.210148	0.194031	0.210415	0.208804	0.208046	0.201775	0.201065	0.194379	0.203959	0.203907	0.196522	0.226564	0.305381	0.337922	0.079647	0.184252	0.042101
1.203831	0.107375	0.011583	-0.010583	3.258904	0.261952	0.216760	0.230075	0.203717	0.217482	0.203203	0.210147	0.194034	0.210414	0.208806	0.208042	0.201777	0.201065	0.194380	0.203964	0.203909	0.196520	0.226585	0.305423	0.337946	0.079651	0.185094	0.042124
