[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.148458	0.101333	0.014000	0.017333	4.326257	0.262627	0.213049	0.227715	0.203633	0.218832	0.204360	0.211655	0.195290	0.211709	0.209772	0.209044	0.202862	0.202264	0.195824	0.205477	0.205348	0.199497	0.231161	0.327097	0.370401	0.082090	0.182975	0.021572	2.059627	8.504000	35.000000	97.642273
0.152092	0.101000	0.014000	0.017167	4.326262	0.262627	0.213049	0.227715	0.203633	0.218832	0.204360	0.211655	0.195290	0.211709	0.209773	0.209044	0.202862	0.202264	0.195824	0.205477	0.205348	0.199497	0.231161	0.327097	0.370401	0.082090	0.182975	0.021574	2.059627	8.639000	35.000000	97.764229
0.155608	0.100500	0.014000	0.016833	4.326272	0.262627	0.213048	0.227716	0.203633	0.218831	0.204360	0.211656	0.195291	0.211709	0.209773	0.209044	0.202863	0.202264	0.195824	0.205477	0.205348	0.199496	0.231161	0.327097	0.370401	0.082089	0.182975	0.021578	2.059627	8.625000	35.000000	97.723579
0.159117	0.100500	0.013667	0.016333	4.326277	0.262626	0.213048	0.227717	0.203633	0.218831	0.204360	0.211656	0.195291	0.211709	0.209773	0.209044	0.202863	0.202264	0.195824	0.205477	0.205348	0.199496	0.231161	0.327097	0.370400	0.082089	0.182975	0.021580	2.059627	8.641001	35.000000	97.845528
0.162633	0.101000	0.014000	0.016333	4.326290	0.262625	0.213048	0.227717	0.203633	0.218831	0.204360	0.211656	0.195291	0.211709	0.209774	0.209044	0.202863	0.202263	0.195824	0.205477	0.205348	0.199496	0.231162	0.327097	0.370400	0.082088	0.182975	0.021584	2.059627	8.641001	35.000000	97.723579
0.166008	0.101333	0.013333	0.016000	4.326298	0.262625	0.213048	0.227717	0.203633	0.218831	0.204360	0.211656	0.195292	0.211709	0.209774	0.209044	0.202863	0.202262	0.195823	0.205477	0.205348	0.199496	0.231162	0.327097	0.370400	0.082088	0.182975	0.021587	2.059627	8.638000	35.000000	97.723579
0.170425	0.101000	0.013667	0.016333	4.326320	0.262622	0.213048	0.227718	0.203632	0.218831	0.204360	0.211656	0.195292	0.211709	0.209774	0.209044	0.202863	0.202261	0.195823	0.205477	0.205348	0.199496	0.231162	0.327097	0.370400	0.082087	0.182975	0.021593	2.059627	8.559999	35.000000	97.723579
0.173942	0.100667	0.013667	0.016333	4.326334	0.262622	0.213048	0.227718	0.203632	0.218831	0.204360	0.211656	0.195292	0.211709	0.209774	0.209044	0.202862	0.202261	0.195823	0.205477	0.205348	0.199496	0.231162	0.327097	0.370400	0.082086	0.182975	0.021598	2.059628	8.520000	35.000000	97.743904
0.177450	0.101000	0.014000	0.016500	4.326350	0.262619	0.213048	0.227718	0.203632	0.218831	0.204360	0.211656	0.195292	0.211709	0.209774	0.209044	0.202862	0.202261	0.195823	0.205477	0.205347	0.199496	0.231162	0.327097	0.370400	0.082085	0.182975	0.021603	2.059628	8.515000	35.000000	97.723579
0.180950	0.101000	0.014000	0.017167	4.326387	0.262619	0.213048	0.227719	0.203631	0.218831	0.204360	0.211656	0.195292	0.211709	0.209775	0.209044	0.202862	0.202261	0.195823	0.205476	0.205347	0.199497	0.231162	0.327097	0.370400	0.082085	0.182976	0.021608	2.059628	8.517000	35.000000	97.743904
