[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.466671	0.098667	0.011125	0.018667	3.219524	0.255032	0.212205	0.227427	0.202714	0.216978	0.203086	0.210058	0.194010	0.210368	0.208778	0.207997	0.201761	0.201035	0.194378	0.203933	0.203865	0.196382	0.225605	0.303556	0.336377	0.079439	0.177127	0.038006
0.481165	0.098667	0.011000	0.018583	3.219254	0.255087	0.212225	0.227477	0.202863	0.216997	0.203079	0.210055	0.194006	0.210364	0.208779	0.207995	0.201759	0.201035	0.194378	0.203929	0.203867	0.196378	0.225620	0.303597	0.336400	0.079437	0.177127	0.038007
0.495923	0.098333	0.011042	0.019500	3.219103	0.255263	0.212247	0.227524	0.202975	0.217046	0.203072	0.210048	0.194002	0.210364	0.208779	0.207991	0.201759	0.201033	0.194377	0.203923	0.203872	0.196373	0.225644	0.303648	0.336428	0.079436	0.177120	0.038015
0.510254	0.098417	0.011250	0.020042	3.219403	0.255434	0.212222	0.227535	0.202990	0.217100	0.203071	0.210054	0.194002	0.210368	0.208779	0.207991	0.201760	0.201033	0.194376	0.203921	0.203877	0.196373	0.225658	0.303687	0.336453	0.079436	0.177112	0.038038
0.524975	0.098417	0.011167	0.020208	3.219843	0.255475	0.212173	0.227554	0.202968	0.217142	0.203082	0.210078	0.194004	0.210376	0.208779	0.207991	0.201762	0.201036	0.194376	0.203922	0.203881	0.196379	0.225663	0.303693	0.336462	0.079435	0.177103	0.038083
0.539569	0.098667	0.010917	0.020125	3.219915	0.255514	0.212125	0.227572	0.202972	0.217163	0.203097	0.210095	0.194005	0.210385	0.208777	0.207992	0.201763	0.201039	0.194375	0.203924	0.203882	0.196386	0.225660	0.303673	0.336443	0.079434	0.177097	0.038136
0.553837	0.098500	0.010917	0.019833	3.219928	0.255810	0.212102	0.227623	0.203021	0.217187	0.203110	0.210102	0.194006	0.210395	0.208772	0.207992	0.201762	0.201039	0.194374	0.203926	0.203883	0.196392	0.225660	0.303668	0.336434	0.079434	0.177094	0.038188
0.568752	0.098667	0.011250	0.019250	3.220469	0.256643	0.212114	0.227695	0.203093	0.217198	0.203120	0.210106	0.194011	0.210403	0.208768	0.207992	0.201760	0.201043	0.194374	0.203928	0.203881	0.196401	0.225660	0.303671	0.336434	0.079437	0.177092	0.038230
0.583183	0.098708	0.011083	0.019208	3.220487	0.256598	0.211882	0.227620	0.202981	0.217160	0.203116	0.210106	0.194019	0.210404	0.208766	0.207992	0.201760	0.201044	0.194374	0.203929	0.203874	0.196402	0.225651	0.303647	0.336405	0.079440	0.177094	0.038253
0.597644	0.098500	0.011167	0.019667	3.220143	0.256131	0.211675	0.227459	0.202859	0.217123	0.203104	0.210103	0.194018	0.210397	0.208766	0.207993	0.201759	0.201042	0.194372	0.203926	0.203866	0.196395	0.225638	0.303610	0.336362	0.079443	0.177096	0.038265
0.612338	0.098667	0.011083	0.019542	3.220385	0.255690	0.211607	0.227302	0.202798	0.217104	0.203097	0.210101	0.194013	0.210389	0.208770	0.207996	0.201759	0.201038	0.194370	0.203927	0.203861	0.196391	0.225628	0.303599	0.336339	0.079446	0.177099	0.038274
0.626831	0.098583	0.011208	0.018917	3.221055	0.255368	0.211691	0.227209	0.202786	0.217096	0.203091	0.210100	0.194010	0.210386	0.208777	0.208000	0.201760	0.201034	0.194368	0.203929	0.203859	0.196395	0.225624	0.303606	0.336329	0.079447	0.177099	0.038277
0.641423	0.098458	0.010917	0.019083	3.221045	0.255109	0.211795	0.227216	0.202785	0.217103	0.203092	0.210098	0.194011	0.210386	0.208781	0.208000	0.201763	0.201032	0.194367	0.203930	0.203857	0.196399	0.225625	0.303600	0.336319	0.079448	0.177094	0.038276
0.655917	0.098792	0.011250	0.019167	3.220453	0.254964	0.211908	0.227275	0.202771	0.217118	0.203100	0.210094	0.194009	0.210385	0.208777	0.207997	0.201761	0.201028	0.194366	0.203926	0.203854	0.196394	0.225616	0.303585	0.336304	0.079449	0.177087	0.038272
0.670417	0.098667	0.011167	0.019083	3.219702	0.254937	0.211908	0.227394	0.202771	0.217109	0.203115	0.210089	0.194004	0.210382	0.208773	0.207995	0.201758	0.201026	0.194367	0.203923	0.203852	0.196387	0.225604	0.303577	0.336288	0.079448	0.177079	0.038265
0.685238	0.098625	0.011375	0.019000	3.218959	0.255194	0.211832	0.227429	0.202772	0.217088	0.203121	0.210083	0.194000	0.210379	0.208772	0.207995	0.201758	0.201025	0.194367	0.203922	0.203852	0.196382	0.225595	0.303577	0.336263	0.079447	0.177070	0.038255
0.699569	0.098667	0.011167	0.019167	3.218812	0.255537	0.211879	0.227403	0.202787	0.217088	0.203114	0.210081	0.193997	0.210378	0.208772	0.207996	0.201758	0.201026	0.194368	0.203924	0.203853	0.196379	0.225597	0.303588	0.336258	0.079447	0.177063	0.038245
0.714225	0.098500	0.011208	0.018667	3.218711	0.255309	0.211881	0.227304	0.202748	0.217078	0.203102	0.210079	0.193993	0.210378	0.208771	0.207997	0.201756	0.201026	0.194368	0.203921	0.203855	0.196371	0.225599	0.303608	0.336265	0.079447	0.177057	0.038235
0.728819	0.098625	0.011167	0.018583	3.219262	0.255064	0.211911	0.227308	0.202711	0.217074	0.203091	0.210081	0.193991	0.210378	0.208769	0.207999	0.201754	0.201023	0.194368	0.203919	0.203859	0.196363	0.225597	0.303630	0.336276	0.079445	0.177054	0.038226
0.743152	0.098708	0.011167	0.018750	3.220717	0.255051	0.212169	0.227429	0.202725	0.217099	0.203098	0.210089	0.193994	0.210381	0.208768	0.208003	0.201753	0.201022	0.194369	0.203917	0.203863	0.196358	0.225591	0.303635	0.336284	0.079442	0.177053	0.038214
