[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.121800	0.099667	0.015667	0.359333	4.345413	0.263994	0.213835	0.229308	0.204002	0.219234	0.204431	0.211726	0.195348	0.211769	0.209786	0.209067	0.202885	0.202290	0.195907	0.205550	0.205432	0.199718	0.231913	0.323584	0.373715	0.084087	0.183356	0.002550	2.059683	1.616000	35.000000	97.723579
0.125450	0.099667	0.015833	0.361667	4.345408	0.263990	0.213836	0.229308	0.204002	0.219234	0.204431	0.211726	0.195348	0.211769	0.209786	0.209067	0.202884	0.202290	0.195907	0.205550	0.205432	0.199718	0.231911	0.323585	0.373715	0.084091	0.183276	0.003333	2.059683	1.594000	35.000000	97.723579
0.128958	0.099833	0.015833	0.364667	4.345397	0.263981	0.213835	0.229307	0.204001	0.219234	0.204431	0.211725	0.195348	0.211769	0.209786	0.209067	0.202883	0.202291	0.195906	0.205548	0.205431	0.199717	0.231910	0.323585	0.373715	0.084094	0.183236	0.003718	2.059683	1.562000	35.000000	97.764229
0.133242	0.099667	0.015833	0.368500	4.345381	0.263972	0.213831	0.229304	0.204000	0.219231	0.204431	0.211724	0.195348	0.211768	0.209785	0.209066	0.202882	0.202291	0.195906	0.205547	0.205430	0.199717	0.231907	0.323584	0.373715	0.084104	0.183139	0.004476	2.059684	1.514000	35.000000	97.764229
0.136625	0.099667	0.015833	0.370167	4.345376	0.263963	0.213828	0.229303	0.203999	0.219229	0.204431	0.211723	0.195348	0.211767	0.209785	0.209066	0.202882	0.202291	0.195906	0.205547	0.205429	0.199717	0.231907	0.323583	0.373714	0.084108	0.183101	0.005035	2.059684	1.499000	35.000000	97.743904
0.140133	0.099833	0.015667	0.373000	4.345370	0.263959	0.213826	0.229301	0.203998	0.219228	0.204430	0.211722	0.195348	0.211766	0.209785	0.209065	0.202881	0.202290	0.195906	0.205546	0.205429	0.199717	0.231904	0.323583	0.373713	0.084114	0.183045	0.005579	2.059684	1.466000	35.000000	97.743904
0.143783	0.099833	0.015833	0.376333	4.345367	0.263950	0.213823	0.229300	0.203997	0.219226	0.204430	0.211722	0.195348	0.211766	0.209785	0.209065	0.202880	0.202290	0.195905	0.205546	0.205428	0.199717	0.231903	0.323582	0.373713	0.084120	0.182990	0.006114	2.059684	1.438000	34.995003	97.723579
0.147158	0.099833	0.015833	0.379333	4.345366	0.263946	0.213822	0.229298	0.203996	0.219225	0.204430	0.211721	0.195347	0.211765	0.209784	0.209064	0.202879	0.202290	0.195905	0.205545	0.205427	0.199716	0.231901	0.323582	0.373713	0.084125	0.182936	0.006462	2.059684	1.407000	34.995003	97.764229
0.150792	0.099667	0.015833	0.381500	4.345366	0.263942	0.213820	0.229297	0.203996	0.219223	0.204430	0.211720	0.195346	0.211765	0.209784	0.209064	0.202879	0.202290	0.195905	0.205545	0.205427	0.199716	0.231901	0.323581	0.373714	0.084131	0.182882	0.006969	2.059684	1.390000	35.000000	97.723572
0.154308	0.099667	0.015667	0.383500	4.345369	0.263934	0.213817	0.229297	0.203995	0.219222	0.204430	0.211720	0.195346	0.211765	0.209784	0.209064	0.202878	0.202290	0.195904	0.205544	0.205426	0.199716	0.231900	0.323580	0.373714	0.084135	0.182847	0.007466	2.059685	1.374000	35.000000	97.682922
0.158725	0.100000	0.016000	0.388333	4.345374	0.263930	0.213816	0.229295	0.203994	0.219221	0.204430	0.211719	0.195346	0.211765	0.209783	0.209063	0.202878	0.202291	0.195904	0.205544	0.205426	0.199716	0.231898	0.323579	0.373715	0.084145	0.182762	0.008256	2.059685	1.354000	35.000000	97.723579
0.162242	0.099667	0.016000	0.389667	4.345384	0.263922	0.213815	0.229294	0.203995	0.219220	0.204429	0.211719	0.195346	0.211764	0.209783	0.209063	0.202878	0.202291	0.195904	0.205544	0.205426	0.199717	0.231897	0.323579	0.373716	0.084148	0.182729	0.008560	2.059685	1.354000	35.000000	97.723579
0.165617	0.099667	0.016000	0.391667	4.345392	0.263919	0.213815	0.229294	0.203995	0.219219	0.204429	0.211719	0.195345	0.211764	0.209783	0.209063	0.202878	0.202291	0.195904	0.205544	0.205425	0.199717	0.231896	0.323579	0.373718	0.084156	0.182665	0.008855	2.059685	1.323000	34.990002	97.764229
0.169133	0.100000	0.015667	0.393000	4.345412	0.263916	0.213816	0.229294	0.203996	0.219219	0.204430	0.211718	0.195345	0.211764	0.209783	0.209063	0.202878	0.202292	0.195905	0.205545	0.205425	0.199717	0.231895	0.323579	0.373719	0.084160	0.182634	0.009425	2.059686	1.320000	35.000000	97.723579
0.172633	0.100000	0.016000	0.394667	4.345426	0.263912	0.213817	0.229295	0.203997	0.219219	0.204431	0.211718	0.195345	0.211765	0.209783	0.209063	0.202878	0.202292	0.195905	0.205545	0.205424	0.199718	0.231895	0.323579	0.373724	0.084163	0.182602	0.009698	2.059686	1.304000	34.990002	97.764229
