0.180967	0.101667	0.014333	0.018667	5.072646	0.280112	0.217998	0.235992	0.205308	0.221426	0.205252	0.212367	0.195834	0.212207	0.210018	0.209235	0.203013	0.202395	0.196016	0.205773	0.205724	0.199732	0.233601	0.335369	0.420012	0.082195	0.184466	0.029823	2.059891	13.608000	35.000000	97.845528
0.184350	0.101333	0.014333	0.018333	5.072611	0.280081	0.217974	0.235979	0.205277	0.221419	0.205246	0.212368	0.195831	0.212206	0.210016	0.209234	0.203013	0.202394	0.196016	0.205771	0.205722	0.199730	0.233601	0.335367	0.420004	0.082195	0.184467	0.029821	2.059891	13.672000	35.000000	97.642273
0.187983	0.101667	0.014333	0.018667	5.072674	0.280020	0.217962	0.235953	0.205265	0.221415	0.205241	0.212370	0.195825	0.212206	0.210015	0.209233	0.203012	0.202394	0.196015	0.205771	0.205722	0.199729	0.233601	0.335367	0.420004	0.082194	0.184467	0.029816	2.059891	13.674000	35.000000	97.723579
0.191367	0.101333	0.014333	0.018667	5.072989	0.279990	0.217953	0.235941	0.205250	0.221413	0.205233	0.212372	0.195822	0.212205	0.210013	0.209232	0.203011	0.202393	0.196015	0.205773	0.205721	0.199728	0.233602	0.335370	0.420006	0.082194	0.184467	0.029814	2.059891	13.664000	35.000000	97.764229
0.194875	0.101667	0.014333	0.018667	5.073116	0.279995	0.217990	0.235944	0.205248	0.221413	0.205230	0.212381	0.195819	0.212206	0.210013	0.209231	0.203010	0.202391	0.196015	0.205773	0.205721	0.199729	0.233603	0.335373	0.420020	0.082194	0.184467	0.029812	2.059891	13.641001	35.000000	97.886177
0.199292	0.101667	0.014333	0.018667	5.073574	0.280043	0.218008	0.235945	0.205252	0.221427	0.205227	0.212387	0.195814	0.212204	0.210011	0.209231	0.203009	0.202389	0.196013	0.205774	0.205721	0.199728	0.233606	0.335385	0.420027	0.082193	0.184467	0.029808	2.059891	13.632999	35.000000	97.703255
0.202808	0.101833	0.014167	0.018500	5.073796	0.280111	0.218062	0.235938	0.205264	0.221434	0.205226	0.212395	0.195812	0.212200	0.210010	0.209230	0.203008	0.202387	0.196011	0.205774	0.205719	0.199728	0.233608	0.335391	0.420041	0.082193	0.184467	0.029807	2.059891	13.661000	35.000000	97.662598
0.206183	0.101667	0.014167	0.018500	5.074174	0.280181	0.218079	0.235938	0.205268	0.221445	0.205226	0.212396	0.195812	0.212199	0.210009	0.209230	0.203008	0.202387	0.196010	0.205774	0.205718	0.199728	0.233608	0.335403	0.420042	0.082193	0.184467	0.029806	2.059892	13.692000	35.000000	97.703247
0.209833	0.101500	0.014167	0.018667	5.074339	0.280236	0.218130	0.235941	0.205281	0.221456	0.205230	0.212401	0.195812	0.212198	0.210009	0.209230	0.203008	0.202387	0.196010	0.205777	0.205718	0.199729	0.233611	0.335410	0.420043	0.082192	0.184467	0.029805	2.059892	13.681999	35.000000	97.784554
0.213208	0.101667	0.014333	0.018667	5.074509	0.280319	0.218196	0.235995	0.205324	0.221468	0.205233	0.212411	0.195812	0.212198	0.210009	0.209229	0.203007	0.202386	0.196010	0.205778	0.205720	0.199734	0.233616	0.335420	0.420053	0.082192	0.184467	0.029805	2.059892	13.669000	35.000000	97.743904
0.216717	0.101833	0.014000	0.018667	5.074977	0.280473	0.218303	0.236026	0.205361	0.221493	0.205242	0.212420	0.195816	0.212200	0.210010	0.209229	0.203007	0.202386	0.196011	0.205780	0.205725	0.199735	0.233628	0.335454	0.420063	0.082192	0.184467	0.029805	2.059892	13.652000	35.000000	97.662598
0.220358	0.101667	0.014333	0.018667	5.075275	0.280578	0.218557	0.236108	0.205474	0.221508	0.205249	0.212457	0.195820	0.212202	0.210011	0.209231	0.203008	0.202386	0.196013	0.205786	0.205729	0.199736	0.233635	0.335475	0.420098	0.082192	0.184467	0.029806	2.059893	13.644000	35.000000	97.662598
0.224642	0.101667	0.014333	0.018667	5.076385	0.281113	0.219103	0.236439	0.205633	0.221570	0.205278	0.212482	0.195835	0.212211	0.210016	0.209233	0.203012	0.202388	0.196019	0.205793	0.205745	0.199749	0.233665	0.335549	0.420132	0.082192	0.184466	0.029807	2.059894	13.672000	35.000000	97.886177
0.228292	0.101500	0.014333	0.018500	5.076711	0.281233	0.219206	0.236603	0.205765	0.221587	0.205287	0.212498	0.195839	0.212212	0.210016	0.209233	0.203012	0.202388	0.196019	0.205799	0.205748	0.199755	0.233671	0.335566	0.420155	0.082192	0.184466	0.029808	2.059895	13.691000	35.000000	97.886177
0.231792	0.101667	0.014500	0.018667	5.077260	0.281342	0.219259	0.236650	0.205809	0.221606	0.205294	0.212499	0.195844	0.212210	0.210016	0.209233	0.203011	0.202387	0.196020	0.205800	0.205747	0.199757	0.233675	0.335594	0.420161	0.082192	0.184465	0.029809	2.059895	13.680000	35.000000	97.723579
0.235308	0.101667	0.014333	0.018667	5.077339	0.281347	0.219326	0.236665	0.205839	0.221607	0.205299	0.212498	0.195844	0.212209	0.210013	0.209232	0.203010	0.202386	0.196019	0.205799	0.205746	0.199757	0.233675	0.335599	0.420161	0.082192	0.184464	0.029810	2.059895	13.670000	35.000000	97.764229
0.238683	0.101500	0.014167	0.018667	5.077228	0.281288	0.219329	0.236633	0.205895	0.221597	0.205299	0.212496	0.195843	0.212204	0.210011	0.209231	0.203008	0.202384	0.196018	0.205799	0.205744	0.199757	0.233673	0.335602	0.420151	0.082192	0.184463	0.029813	2.059896	13.643000	35.000000	97.886177
0.242192	0.101667	0.014167	0.018500	5.077088	0.281278	0.219254	0.236616	0.205913	0.221589	0.205297	0.212494	0.195842	0.212201	0.210007	0.209231	0.203005	0.202383	0.196018	0.205799	0.205742	0.199757	0.233672	0.335602	0.420146	0.082192	0.184463	0.029815	2.059896	13.643000	35.000000	97.642273
0.246617	0.101500	0.014167	0.018667	5.076659	0.281206	0.219175	0.236527	0.205942	0.221548	0.205292	0.212487	0.195838	0.212194	0.210001	0.209229	0.203001	0.202378	0.196019	0.205798	0.205738	0.199753	0.233667	0.335599	0.420132	0.082192	0.184462	0.029819	2.059897	13.661000	35.000000	97.662598
0.250125	0.101500	0.014167	0.018667	5.076478	0.281153	0.219086	0.236489	0.205945	0.221531	0.205290	0.212483	0.195838	0.212190	0.209999	0.209229	0.202999	0.202376	0.196018	0.205797	0.205736	0.199750	0.233665	0.335593	0.420125	0.082192	0.184461	0.029821	2.059897	13.682000	35.000000	97.682922
0.253633	0.101667	0.014333	0.018500	5.076199	0.281109	0.219041	0.236422	0.205897	0.221500	0.205289	0.212470	0.195839	0.212184	0.209998	0.209228	0.202999	0.202373	0.196017	0.205796	0.205736	0.199746	0.233663	0.335580	0.420110	0.082192	0.184461	0.029824	2.059898	13.681000	35.000000	97.642273
0.257150	0.101833	0.014167	0.018500	5.076058	0.281088	0.218951	0.236390	0.205873	0.221484	0.205287	0.212464	0.195840	0.212181	0.209996	0.209228	0.202997	0.202371	0.196016	0.205795	0.205734	0.199744	0.233660	0.335573	0.420102	0.082192	0.184461	0.029827	2.059898	13.673000	35.000000	97.642273
0.260525	0.101667	0.014333	0.018667	5.075669	0.281036	0.218898	0.236306	0.205820	0.221453	0.205283	0.212448	0.195841	0.212174	0.209994	0.209227	0.202997	0.202368	0.196015	0.205792	0.205733	0.199741	0.233657	0.335565	0.420080	0.082192	0.184460	0.029831	2.059898	13.660000	35.000000	97.642273
0.264167	0.101333	0.014000	0.018667	5.075450	0.280936	0.218846	0.236256	0.205794	0.221439	0.205280	0.212440	0.195839	0.212170	0.209993	0.209226	0.202996	0.202366	0.196012	0.205790	0.205730	0.199735	0.233651	0.335546	0.420067	0.082191	0.184460	0.029834	2.059899	13.648001	35.000000	97.804878
